Sample;CLUSTER;IWS_R1-R2;IWS_V12-R1;MOYDAY_R1-R2;MOYRG_V7-V12;MOYRG_VE-V7;NBDMAX1_R2-R6;NBDMIN1_R1-R2;NBDMIN1_R2-R6;NBDMIN1_V12-R1;NBDMIN1_V7-V12;SUMH2O_R1-R2;SUMH2O_R2-R6;SUMH2O_S-VE;SUMH2O_V7-V12;SUMH2O_VE-V7;SUMRG_R1-R2;SUMRG_R2-R6;SUMRG_V12-R1
396;4;0;0,0003;13,65;22,7998;19,9207;0;2;20;2;0;17,9;84,4;27,1;0;81,6;296,9744;678,2573;390,4956
397;4;0,0165;0;13,0952;22,8232;19,8196;0;0;7;1;1;34,4;128,5;42,8;5,2;73,8;312,1891;681,7586;401,3381
398;4;0;0;13,35;21,8324;18,8214;0;0;14;2;2;75,6;71,4;18;3,5;59,2;306,9871;686,5751;358,7479
399;4;0,0413;0,0044;13,1579;20,989;18,9867;0;0;15;2;3;71,9;65,1;19,1;6,3;52,5;288,594;691,0117;336,3296
400;4;0,2518;0;13,7333;19,7145;22,7124;0;0;19;2;5;2,2;32,4;0,4;25,2;114,2;327,1774;698,2031;331,2022
401;4;0;0;13,7333;21,5313;22,7898;0;1;8;0;3;32,9;48,2;10,9;28,7;58,5;313,5125;602,8963;368,6155
402;4;0,4735;0;13,8947;24,222;20,8966;0;1;7;0;2;4,2;107,2;11,6;2,7;86,9;329,5181;636,5394;348,8058
403;4;0,035;0;12,913;21,2048;19,8196;0;1;6;1;1;49,3;121,9;42,8;32;73,8;336,3214;641,345;397,7896
404;4;0;0;14;25,5422;18,002;0;2;10;1;1;69,6;159,2;57,8;0,1;114,2;320,8428;634,252;314,9464
405;4;0;0;13,7059;21,8421;20,318;0;0;6;1;1;65,8;62,1;5,1;54,5;75,4;256,8636;654,0246;320,8907
406;4;0;0;13,3;18,7563;18,8214;0;0;14;2;2;76,3;90,5;18;3,5;59,2;310,7682;662,715;375,169
407;4;0,0038;0,0056;13,2632;18,1151;18,9867;0;0;16;2;3;77;67,6;19,1;7,9;52,5;286,7843;682,5366;351,9439
408;4;0;0;13,3684;24,6214;19,3066;0;3;9;0;3;60;50,5;20,6;2,6;89,2;340,8545;703,5944;352,2668
409;4;0;0;13,7857;22,0135;21,2626;0;0;5;6;1;47,8;38,3;12,2;30,6;26,3;306,8348;638,068;404,9294
410;4;0;0;13,6667;22,0033;21,1696;0;0;6;5;4;48,1;34,1;20,8;50,1;54,5;296,4427;620,0071;405,2419
411;4;0,0158;0;14,2222;20,8742;20,1358;1;2;2;2;2;52,2;115,2;11,5;28,5;80,9;306,6934;667,0505;341,3466
412;4;0,415;0;13,6667;18,5973;22,7124;0;0;43;2;5;2,2;49,4;0,4;28,5;114,2;319,909;766,2521;352,1862
413;4;0;0;13,8;20,3377;22,7898;0;1;12;0;3;30,4;48,2;10,9;35,1;58,5;328,3974;664,5989;352,5973
414;4;0,0183;0;13,5789;25,2778;18,8225;1;1;7;1;2;29,3;108,3;9,2;46,7;70;294,5405;633,1824;321,0023
415;4;0;0;13,85;25,3045;18,002;0;2;19;1;1;81,8;152,3;57,8;0,1;114,2;312,8148;711,7315;308,6122
416;4;0;0;13,8;25,105;19,7379;0;0;5;1;0;41,2;134,1;48,2;38,9;130,9;337,9576;608,764;290,3641
417;4;0;0;13,625;20,6181;20,318;0;0;11;1;1;69,8;67,6;5,1;56;75,4;244,017;723,3761;314,7696
418;4;0;0;13,3684;24,3075;19,3066;0;3;11;0;3;53,1;53,9;20,6;5,8;89,2;360,4594;691,745;341,0183
419;4;0;0;14,4667;22,4697;23,7947;2;0;0;0;0;47,1;169,8;38,8;54,9;138,3;360,6095;580,3654;355,1598
